rule_id,category,requirement,mandatory_level,competition_stage,track_scope,source_title,source_organization,source_type,official_url,publication_date,effective_date,retrieved_date,version,exact_evidence,interpretation,project_impact,confidence,status
R011,timeline,"AI+能源初赛作品提交截止为 2026-10-15 20:00，截止后不能修改",REQUIRED,preliminary,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","初赛作品提交截止时间为10月15日20:00。截止日期后则无法对作品进行修改","截止前是否可多次覆盖未明确，但截止后禁止修改明确","Phase 15 包须在此时前完成；覆盖规则 UNKNOWN",HIGH,VERIFIED
R012,timeline,"AI+能源复赛在 2026-10-31 前完成，线上评审，必要时在线答疑",REQUIRED,semifinal,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","复赛（10月底前完成）；线上评审；有疑问提前通知在线答疑","‘月底前’规范化为不晚于 2026-10-31，具体日期 UNKNOWN","Phase 14 准备在线答疑，不假设固定答辩",MEDIUM,VERIFIED
R013,timeline,"AI+能源全国总决赛在 2026-11-30 前完成，线下；具体赛程另行通知",REQUIRED,final,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","全国总决赛（11月底前完成）；线下总决赛，具体赛程另行通知","最后日期规范化为 2026-11-30；地点/签到仍 UNKNOWN","Phase 14 必须按线下准备",HIGH,VERIFIED
R014,defense,"AI+能源总决赛为 8 分钟答辩 + 5 分钟评委提问",REQUIRED,final,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","总决赛采取线下答辩形式进行评审（8分钟答辩+5分钟评委提问）","未单列 Demo 时长","Phase 14 总陈述严格 8 分钟，Q&A 5 分钟",HIGH,VERIFIED
R015,defense,"总决赛团队成员原则上全部到场，未到场团队按弃赛处理",REQUIRED,final,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","总决赛以参赛团队现场答辩形式举办，团队成员原则上应全部到场参赛。未到场参赛团队按弃赛处理","未明确指定主讲人","Phase 14 按全员线下到场规划",HIGH,VERIFIED
R016,submission,"所有匿名版材料不得出现参赛者、指导教师、学校等可识别身份信息；AI+能源特别禁止学校和指导教师信息",PROHIBITED,all,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","匿名版作品中严禁出现参赛人员姓名、指导教师姓名、参赛学校等任何可识别身份信息","通用章程比 AI+能源附件措辞更广，采用更严格通用要求","Phase 13-15 做全材料匿名扫描",HIGH,VERIFIED
R017,integrity,"作品必须原创；抄袭、舞弊、版权不清可取消资格；承诺书需同步提交",REQUIRED,submission,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","参赛作品须为参赛团队原创；须同步提交承诺书；鉴别抄袭、舞弊等学术不端","承诺书模板/签署格式尚未找到","Phase 15 纳入承诺书占位与来源披露检查",HIGH,PARTIALLY_VERIFIED
R018,deliverable,"AI+能源科技创新组须提供可运行代码、模型或系统原型，提供数据并附详细部署说明",REQUIRED,submission,"AI+能源—科技创新组","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","可运行的代码、模型或系统原型（提供数据，并附详细部署说明）","三种实现载体之间的连接词为‘或’，但本代码型项目必须提供可运行代码","Phase 15 必须交代码、数据/获取方式、部署说明",HIGH,VERIFIED
R019,reproducibility,"代码须可运行、实验结果须可复现",REQUIRED,all,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","代码需可运行，实验结果需可复现","明确硬要求，不是建议","Phase 15 canonical loader 风险是阻断项，但本阶段不修复",HIGH,VERIFIED
R020,reproducibility,"须提供完整代码包、数据集或获取方式、详细环境配置说明，使专家可复现核心结果",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","需提供完整的代码包、数据集（或获取方式）及详细的环境配置说明","未指定 requirements/environment.yml/Docker 的具体载体","Phase 15 选择最小可复现环境载体并验证",HIGH,VERIFIED
R021,dataset,"允许引用开源算法或第三方数据，但必须标注出处并符合授权协议",REQUIRED,all,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","若引用开源算法或第三方数据，需明确标注出处并确保符合授权协议","公开数据集允许但非无条件；未点名 BDG2","Phase 15 审核 BDG2 许可、引用与再分发边界",HIGH,VERIFIED
R022,dataset,"数据来源、特征工程、评估指标必须说明；数据需提供或给获取方式",REQUIRED,all,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","需说明数据来源、特征工程方法及模型评估指标；数据集（或获取方式）","未要求自行采集，也未限制互联网数据","报告与 README 必须可追溯到 BDG2 来源",HIGH,VERIFIED
R023,privacy,"涉及数据使用应保护数据隐私并符合国家相关标准",REQUIRED,all,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","需确保……数据隐私保护，符合国家相关技术标准","未给特定隐私标准清单","报告需说明 BDG2 非个人数据及处理边界；法律细节需另核验",MEDIUM,PARTIALLY_VERIFIED
R024,report,"技术报告为核心成果，必须提交 PDF，大小不超过 10 MB",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","技术报告……文件统一保存为PDF格式，文件大小不得超过10M","DOCX 不作为提交格式；页数上限未公布","Phase 13 使用官方大纲，最终导出 PDF≤10MB",HIGH,VERIFIED
R025,report,"报告需含摘要、引言、相关工作、方法论、实验结果与分析、结论；并含创新与应用、局限/伦理/展望",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","研究报告需包含摘要、引言、相关工作、方法论、实验结果与分析、结论等部分","附件2结构较简，但附件1要求必须纳入相关工作、伦理与局限","Phase 13 以两附件并集形成章节约束",HIGH,VERIFIED
R026,report,"摘要 300-500 字；正文小四号宋体、单倍行距；参考文献五号宋体、20磅行距",REQUIRED,submission,"AI+能源—科技创新组","AI+能源技术报告参考大纲-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B62AIC%C2%B7AI%E8%83%BD%E6%BA%90%E6%8A%80%E6%9C%AF%E6%8A%A5%E5%91%8A%E5%8F%82%E8%80%83%E5%A4%A7%E7%BA%B2-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件2","摘要字数控制在300-500字，小四号宋体，单倍行距；参考文献五号宋体，行距20磅","页边距、页数、总字数未规定","Phase 13 精确套用字体与行距；其余 UNKNOWN 不猜",HIGH,VERIFIED
R027,report,"官方参考大纲要求封面含作品名称、科技创新组、团队名称、日期",REQUIRED,submission,"AI+能源—科技创新组","AI+能源技术报告参考大纲-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B62AIC%C2%B7AI%E8%83%BD%E6%BA%90%E6%8A%80%E6%9C%AF%E6%8A%A5%E5%91%8A%E5%8F%82%E8%80%83%E5%A4%A7%E7%BA%B2-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件2","作品名称；赛道组别：科技创新组；团队名称；日期","团队名称允许，学校/成员/导师仍禁止","Phase 13 封面仅含模板字段",HIGH,VERIFIED
R028,ppt,"必须提交汇报/答辩 PPT，提交文件统一为 PDF",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","答辩PPT……文件统一保存为PDF格式","页数、大小、官方 PPT 模板均未公布","Phase 14 输出展示源和提交 PDF；按 8 分钟控制",HIGH,VERIFIED
R029,video,"必须提交 MP4 演示视频，3-5 分钟，≤300 MB，展示功能、实现流程、应用效果",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","视频格式限定为MP4，时长需严格控制在3-5分钟之间，大小300MB以内","通知正文‘5分钟以内’被更具体附件收窄为3-5分钟","Phase 14 必须制作；分辨率/横竖屏/配音/字幕/真人出镜 UNKNOWN",HIGH,VERIFIED
R030,demo,"必须进行应用展示并以演示视频呈现；现场独立 Demo 时段未规定",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","系统完整性……应用展示环节；演示视频……展示作品功能、实现流程与应用效果","录制型 demo 必须；线下交互/现场 demo 未明确","Phase 14 做最小可复现演示流程，不据此开发 GUI",HIGH,PARTIALLY_VERIFIED
R031,gui,"GUI/Web/App 未被要求；系统原型只是代码/模型/系统原型三种载体之一，界面截图为‘可配以’",OPTIONAL,all,"AI+能源—科技创新组","AI+能源技术报告参考大纲-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B62AIC%C2%B7AI%E8%83%BD%E6%BA%90%E6%8A%80%E6%9C%AF%E6%8A%A5%E5%91%8A%E5%8F%82%E8%80%83%E5%A4%A7%E7%BA%B2-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件2","系统功能实现……可配以流程图、界面截图等","没有硬性 GUI/Web/App 条款；属于可选呈现","GUI verdict=NOT REQUIRED；Phase 11 禁止开发",HIGH,VERIFIED
R032,submission,"技术报告、PPT、视频、其他材料链接须在报名系统提交；大文件通过百度网盘永久分享链接",REQUIRED,preliminary,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","在大赛报名系统中……作品材料包括……作品其他材料链接；上传至百度网盘……分享时设置永久有效","平台入口为 reg.aicomp.cn；总包压缩格式未规定","Phase 15 校验链接永久有效与提取码",HIGH,VERIFIED
R033,naming,"网盘根目录及内部文件命名使用‘参赛团队编号-赛题名称-作品名称-XX（材料名称）’",REQUIRED,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","网盘内所有文件统一命名格式为：参赛团队编号-赛题名称-作品名称-XX（材料名称）","团队编号和最终作品名当前 UNKNOWN","Phase 15 获取编号后执行命名",HIGH,VERIFIED
