figure_id,path,phase,title_or_inferred_role,underlying_source_data,source_data_exists,frozen,width_px,height_px,aspect_ratio,text_legible_in_ppt,reusable_without_modification,presentation_value,classification,evidence_level,notes
FIG-022,outputs/phase5_7/deterministic_vs_robust_daily_peaks.png,5_7,Deterministic Vs Robust Daily Peaks,outputs/phase5_7/test_daily_metrics.csv,YES,YES,2160,990,2.1818,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-023,outputs/phase5_7/lambda_sensitivity.png,5_7,Lambda Sensitivity,outputs/phase5_7/test_daily_metrics.csv,YES,YES,1890,1350,1.4,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-024,outputs/phase7/figures/01_morphology_map.png,7,01 Morphology Map,outputs/phase7/building_candidate_statistics.csv,YES,YES,1530,1020,1.5,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-025,outputs/phase7/figures/02_normalized_forecast_comparison.png,7,02 Normalized Forecast Comparison,outputs/phase7/model_test_forecast_metrics.csv,YES,YES,1530,1020,1.5,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-026,outputs/phase7/figures/03_decision_comparison.png,7,03 Decision Comparison,outputs/phase7/model_test_decision_metrics.csv,YES,YES,1700,1020,1.6667,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-027,outputs/phase7/figures/04_forecast_vs_decision_rank.png,7,04 Forecast Vs Decision Rank,outputs/phase7/paired_model_comparison.csv,YES,YES,1190,1020,1.1667,REVIEW,NO,HIGH,PPT_REFORMAT_RECOMMENDED,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-028,outputs/phase7/figures/05_average_rank.png,7,05 Average Rank,outputs/phase7/model_test_forecast_metrics.csv,YES,YES,1530,850,1.8,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-029,outputs/phase7/figures/06_success_case.png,7,06 Success Case,outputs/phase7/model_test_forecast_metrics.csv,YES,YES,1870,850,2.2,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-030,outputs/phase7/figures/07_failure_case.png,7,07 Failure Case,outputs/phase7/model_test_forecast_metrics.csv,YES,YES,1870,850,2.2,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-031,outputs/phase7/figures/08_ensemble_improvement.png,7,08 Ensemble Improvement,outputs/phase7/model_test_forecast_metrics.csv,YES,YES,1530,850,1.8,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-032,outputs/phase8/figures/01_validation_weight_vs_mae.png,8,01 Validation Weight Vs Mae,outputs/phase8/validation_weight_search.csv,YES,YES,1620,900,1.8,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-033,outputs/phase8/figures/02_validation_weight_vs_regret.png,8,02 Validation Weight Vs Regret,outputs/phase8/validation_weight_search.csv,YES,YES,1620,900,1.8,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-034,outputs/phase8/figures/03_selected_weights.png,8,03 Selected Weights,outputs/phase8/selected_weights.csv,YES,YES,1440,1080,1.3333,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-035,outputs/phase8/figures/04_test_decision_regret.png,8,04 Test Decision Regret,outputs/phase8/test_daily_decision_metrics.csv,YES,YES,1620,900,1.8,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-036,outputs/phase8/figures/05_forecast_vs_decision_effect.png,8,05 Forecast Vs Decision Effect,outputs/phase8/test_daily_decision_metrics.csv,YES,YES,1440,1080,1.3333,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-037,outputs/phase8/figures/06_representative_dispatch.png,8,06 Representative Dispatch,outputs/phase8/test_daily_decision_metrics.csv,YES,YES,1800,900,2.0,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-038,outputs/phase9/figures/01_forecast_vs_decision.png,9,01 Forecast Vs Decision,outputs/phase9/final_benchmark.csv,YES,YES,1360,1020,1.3333,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-039,outputs/phase9/figures/02_building_decision_comparison.png,9,02 Building Decision Comparison,outputs/phase7/model_test_decision_metrics.csv,YES,YES,1700,1020,1.6667,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-040,outputs/phase9/figures/03_core_improvements.png,9,03 Core Improvements,outputs/phase9/final_benchmark.csv,YES,YES,1700,1020,1.6667,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-041,outputs/phase9/figures/04_peak_quality_vs_decision.png,9,04 Peak Quality Vs Decision,outputs/phase9/final_benchmark.csv,YES,YES,1360,850,1.6,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-042,outputs/phase9/figures/05_efficiency.png,9,05 Efficiency,outputs/phase9/efficiency_metrics.csv,YES,YES,1870,680,2.75,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-043,outputs/phase9/figures/06_validation_search.png,9,06 Validation Search,outputs/phase9/validation_search.csv,YES,YES,1360,850,1.6,LIKELY,YES,HIGH,PPT_READY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-044,reports/figures/.gitkeep,data,.Gitkeep,data/processed/campus_hourly.csv,YES,YES,,,,REVIEW,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-045,reports/figures/01_full_load_overview.png,data,01 Full Load Overview,data/processed/campus_hourly.csv,YES,YES,1782,584,3.0514,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-046,reports/figures/02_seven_day_load.png,data,02 Seven Day Load,data/processed/campus_hourly.csv,YES,YES,1776,584,3.0411,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-047,reports/figures/03_mean_24h_profile.png,data,03 Mean 24H Profile,data/processed/campus_hourly.csv,YES,YES,1182,584,2.024,REVIEW,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-048,reports/figures/04_weekday_mean_load.png,data,04 Weekday Mean Load,data/processed/campus_hourly.csv,YES,YES,1182,583,2.0274,REVIEW,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-049,reports/figures/05_temperature_vs_load.png,data,05 Temperature Vs Load,data/processed/campus_hourly.csv,YES,YES,1032,734,1.406,REVIEW,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
