literature_id,title,authors,year,venue,DOI_or_URL,source_type,metadata_status,full_text_status,relevance,freeze_note
L011,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities","Jayanta Mandi et al.",2024,Journal of Artificial Intelligence Research,10.1613/jair.1.15320,journal survey,VERIFIED,FULL_TEXT_CHECKED,DFL boundary,"Survey prevents broad first/new claims"
L012,Cost-oriented load forecasting,"Jialun Zhang; Yi Wang; Gabriela Hug",2022,Electric Power Systems Research,10.1016/j.epsr.2021.107723,publisher article,VERIFIED,ABSTRACT_AND_METHOD_CHECKED,cost-oriented training,"Differentiable cost-oriented loss integrated into forecasting; end-to-end retraining"
L013,An Integrated Approach for Value-Oriented Energy Forecasting and Data-Driven Decision-Making,"Thomas Carriere; Georges Kariniotakis",2019,IEEE Transactions on Smart Grid,10.1109/TSG.2019.2914379,publisher article,VERIFIED,ABSTRACT_AND_METHOD_CHECKED,value-oriented energy forecasting,"General value-oriented predecessor; not building peak-shaving blend selection"
L014,Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach,"Linwei Sang; Yinliang Xu; Huan Long; Qinran Hu; Hongbin Sun",2022,IEEE Transactions on Smart Grid,10.1109/TSG.2022.3166791,publisher article,VERIFIED,ABSTRACT_AND_METHOD_CHECKED,DFL for storage arbitrage,"Decision-focused price predictor; different target objective and training mechanism"
L015,Automating Value-Oriented Forecast Model Selection by Meta-learning: Application on a Dispatchable Feeder,"Dorina Werling; Maximilian Beichter; Benedikt Heidrich; Kaleb Phipps; Ralf Mikut; Veit Hagenmeyer",2024,Energy Informatics Academy Conference / LNCS,10.1007/978-3-031-48649-4_6,publisher chapter,VERIFIED,FULL_TEXT_CHECKED,closest application-level prior art,"Forecast value selects a model for PV-battery building operation using meta-learning across 300 buildings"
L016,Decision-focused linear pooling for probabilistic forecast combination,"Akylas Stratigakos; Salvador Pineda; Juan Miguel Morales",2025,International Journal of Forecasting,10.1016/j.ijforecast.2024.11.006,publisher article,VERIFIED,FULL_TEXT_CHECKED,closest mechanism-level prior art,"Downstream expected cost learns probabilistic linear-pool weights; solar trading and wind scheduling"
L017,Decision-focused learning for optimal PV-battery scheduling,"Joris Depoortere; Hussain Kazmi; Johan Driesen",2026,Journal of Energy Storage,10.1016/j.est.2026.121152,publisher article,VERIFIED,FULL_TEXT_CHECKED,PV-battery DFL,"End-to-end LSTM training on downstream cost across 20 buildings; not deterministic load blend"
L018,Decision-Focused Learning Enhanced by Automated Feature Engineering for Energy Storage Optimisation,"Nasser Alkhulaifi; Ismail Gokay Dogan; Timothy R. Cargan; Alexander L. Bowler; Direnc Pekaslan; Nicholas J. Watson; Isaac Triguero",2026,Expert Systems with Applications,10.1016/j.eswa.2025.130554,publisher article,VERIFIED,FULL_TEXT_CHECKED,BESS DFL,"SPO+/DBB and feature engineering for price-demand forecasting; end-to-end training"
L019,Advancing energy system optimization via data-centric task-oriented forecasting: An application in PV-battery operation,"Xiaoge Huang; Tianqiao Zhao; Bin Huang; Ziang Zhang; Meng Yue",2025,Applied Energy,10.1016/j.apenergy.2024.124753,publisher article,VERIFIED,ABSTRACT_AND_METHOD_CHECKED,task-oriented PV-BESS,"Iteratively enhances training data for downstream PV-BESS value; not a fixed post-hoc blend"
L020,Forecasting for Battery Storage: Choosing the Error Metric,"Colin Singleton; Peter Grindrod",2021,Energies,10.3390/en14196274,publisher article,VERIFIED,FULL_TEXT_CHECKED,closest peak-shaving application prior art,"Task-specific shape error tunes a weighted historical-demand forecast for battery competition peak reduction"
L021,The Impact of Forecast Characteristics on the Forecast Value for the Dispatchable Feeder,"Dorina Werling; Maximilian Beichter; Benedikt Heidrich; Ralf Mikut; Veit Hagenmeyer",2023,ACM e-Energy Companion,10.1145/3599733.3600251,conference paper,VERIFIED,ABSTRACT_AND_METHOD_CHECKED,same-author predecessor to L015,"Characterizes forecast value for building PV-battery dispatchable feeder"
L022,Point and Probabilistic Forecasts for Day-Ahead Battery Scheduling,"Dorina Werling",2026,KIT dissertation,10.5445/IR/1000189295,institutional dissertation,VERIFIED,FULL_TEXT_CHECKED,forward/same-author synthesis,"Synthesizes value-oriented selection and battery scheduling; published after L015"
L023,Tariff-Aware Imitation Learning for Transferable Battery Storage Control,"UNVERIFIED",2026,ACM e-Energy,10.1145/3744255.3811715,conference paper,PARTIAL,PARTIAL_FULL_TEXT_INDEX,battery decision-metric checkpoint selection,"Economic checkpoint selection overlaps the selection principle but is controller imitation learning rather than forecast blending"
