key_id,metric_name,value,unit,population_scope,split,method,comparison,source_file,source_field_or_rows,semantic_definition,allowed_rounding,allowed_wording,caveat,frozen_status
DOEF-003,mean normalized daily decision regret,0.1119291838879677,ratio,8-building macro mean,Test,DOEF,LightGBM 0.1161267840938350,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.doef_mean_normalized_regret,Daily realized peak from forecast-driven dispatch minus Oracle daily peak normalized by frozen Train mean load then averaged per building and across buildings,0.11193,DOEF mean normalized daily decision regret was 0.11193,Oracle is non-deployable; regret is not peak reduction,FROZEN
DOEF-004,relative normalized regret improvement versus LightGBM,3.6146701543680733,percent,8-building macro mean,Test,DOEF,LightGBM,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_regret_relative_improvement_pct,100 times LightGBM macro mean minus DOEF macro mean divided by LightGBM macro mean,3.61%,DOEF reduced mean normalized daily regret by 3.61% versus LightGBM,Relative aggregate improvement; simulated dispatch only,FROZEN
DOEF-005,decision-regret win tie loss versus LightGBM,6/2/0,buildings,8 selected buildings,Test,DOEF,LightGBM,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss,Per-building comparison of mean daily decision regret under the canonical tie rule,exact triplet,DOEF recorded 6 wins 2 ties and 0 losses in decision regret versus LightGBM,Not peak-reduction wins and not a universal dominance claim,FROZEN
DOEF-006,building-level bootstrap point difference,-0.0041976002058672825,normalized regret,8 buildings,Test,DOEF minus LightGBM,LightGBM,outputs/phase9_1/building_level_bootstrap_summary.json,point_estimate,Mean across buildings of per-building normalized daily-regret differences,−0.00420,DOEF minus LightGBM building-level normalized regret difference was -0.00420,Negative favors DOEF,FROZEN
DOEF-007,building-level bootstrap 95% interval,"[-0.0068502135531734835; -0.0017190447979306138]",normalized regret,8 buildings resampled,Test,DOEF minus LightGBM,10000 resamples seed 42,outputs/phase9_1/building_level_bootstrap_summary.json,ci95_lower and ci95_upper,Percentile bootstrap over buildings of the macro mean normalized daily-regret difference,"[-0.00685; -0.00172]",Building-level bootstrap 95% interval: -0.00685 to -0.00172,Only eight resampling units; do not call this a separate hypothesis-test significance proof,FROZEN
DOEF-008,whole-window peak reduction mean,6.442331666592077,percent,8-building macro mean,Test,DOEF,no-battery peak,outputs/phase9/final_benchmark.csv,DOEF row peak_reduction_mean_pct,Per-building 100 times whole-Test maximum original peak minus post-dispatch maximum peak divided by original peak then equally averaged,6.44%,DOEF achieved 6.44% mean whole-window peak reduction,Peak power shaving under simulation; not energy cost or carbon savings,FROZEN
DOEF-009,whole-window peak reduction median,5.629144355214001,percent,8 buildings,Test,DOEF,no-battery peak,outputs/phase9/final_benchmark.csv,DOEF row peak_reduction_median_pct,Median across buildings of per-building whole-Test maximum-peak reduction percentages,5.63%,Median whole-window peak reduction was 5.63%,Do not substitute for the mean or call energy saving,FROZEN
DOEF-010,dispatch constraint violations,0,violations,4488 daily controller solves,Test,Phase 9 audited controllers,none,outputs/phase9/constraint_summary.json,totals all zero,Sum of solver physical transition timestamp and finite-value audit violations,integer,Zero audited constraint violations across 4488 daily solves,Simulation audit only; not field safety certification,FROZEN
DOEF-011,DOEF prediction invariance samples and max delta,5760 samples; 0.0 max delta,samples and load unit,8 buildings times 720 samples,Test,explicit DOEF formula,frozen Phase 8 ensemble prediction,outputs/phase9_1/doef_prediction_invariance.json,samples and max_absolute_delta,Elementwise comparison of the audited DOEF definition with the frozen Phase 8 predictions,integer and exact zero,All 5760 audited predictions were identical with maximum absolute delta 0,This verifies definition invariance not clean-checkout hash consistency,FROZEN
EFF-001,DOEF mean training time,0.187476874999902,seconds,mean across 8 buildings,training,DOEF,none,outputs/phase9/competition_summary.json,efficiency_protocol.methods display_name=DOEF training_time_seconds_mean_across_buildings,CPU timing for frozen per-building fit protocol,0.187 s,Mean recorded DOEF training time was 0.187 s per building,Environment-specific benchmark; not embedded or industrial latency,FROZEN
EFF-002,DOEF mean inference time,2.3403437500064683,milliseconds,mean across 8 buildings,Test,DOEF,720 samples per building,outputs/phase9/competition_summary.json,efficiency_protocol.methods display_name=DOEF inference_time_ms_mean_across_buildings,Per building median of 20 repetitions over 720 samples then mean across buildings,2.34 ms,Mean recorded inference time was 2.34 ms for 720 samples,CPU environment-specific batch timing,FROZEN
EFF-003,DOEF mean artifact size,499.2091064453125,KiB,mean across 8 buildings,frozen artifacts,DOEF,none,outputs/phase9/competition_summary.json,efficiency_protocol.methods display_name=DOEF artifact_size_kib_mean_across_buildings,Mean serialized artifact size under the Phase 9 protocol,499.2 KiB,Mean DOEF artifact size was 499.2 KiB,Not total deployment footprint,FROZEN
NEG-001,robust minus deterministic mean daily peak,9.3361,kW,one building and 30 Test days,Test,Phase 5.7 robust LightGBM,deterministic LightGBM,reports/phase5_7_report.md,section 11 paired comparison,Mean paired realized daily-peak difference robust minus deterministic,9.34 kW,In the frozen Phase 5.7 case robust dispatch was worse by 9.34 kW on average,Single-building scenario; negative result not a general claim against robustness,FROZEN
NEG-002,peak-aware selected zero alpha,7/8,buildings,8 selected buildings,Validation,Peak-aware LightGBM,canonical LightGBM,outputs/phase9/competition_summary.json,peak_aware_result.selected_alpha_zero_buildings,Buildings where Validation rule rejected added peak weighting,exact fraction,Validation selected no peak weighting in 7 of 8 buildings,Peak-aware method is a rejected supporting experiment,FROZEN
NEG-003,CatBoost whole-window peak reduction median,4.820860917002948,percent,8 buildings,Test,CatBoost,no-battery peak,outputs/phase9_1/final_reporting_summary.json,catboost_peak_reduction_pct.median,Median retained alongside the extreme negative building and negative mean,4.82%,CatBoost median peak reduction was 4.82% while an extreme failure was retained,Mean is -24.48% due to one -245.94% building; do not cherry-pick median alone,FROZEN
