claim_id,approved_wording,evidence_level,main_slide,appendix_slide,role_on_slide,visual_support,verbal_only,prohibited_extension,source_reference
SUP-04,"以建筑为重采样单位的冻结 bootstrap 区间仍位于 0 以下。","TIER 2 — SUPPORTING CLAIM","","SB-A09","uncertainty Q&A","","YES","Do not claim universal statistical superiority; only eight building units are available.","outputs/phase9_1/final_reporting_summary.json"
SUP-05,"DOEF v1.0 公式对 5,760 个冻结预测实现零差异复现。","TIER 2 — SUPPORTING CLAIM","","SB-A10","reproducibility Q&A","","YES","Do not call the identity audit a new experiment or independent replication.","outputs/phase9_1/doef_prediction_invariance.json"
SUP-06,"所有预测方法在同一冻结电池约束下比较，实现从预测到真实削峰结果的闭环评价。","TIER 2 — SUPPORTING CLAIM","SB-M03;SB-M05;SB-M07;SB-M10;SB-M11","SB-A04;SB-A07","decision pipeline; metric meaning; workflow; contribution","CON-01-prediction-decision-bridge;ARCH-01-doef-architecture-master;SCI-05-storage-dispatch-frozen","NO","Do not claim a field-deployed controller or economic/carbon/energy outcomes.","outputs/phase9/final_algorithm.json;outputs/phase13_0a/conflict_register.csv"
SUP-07,"削峰率必须同时说明方法、建筑范围和聚合口径；均值与中位数可能给出相反印象。","TIER 2 — SUPPORTING CLAIM","","SB-A06","aggregation caveat","outputs/phase9/figures/04_peak_quality_vs_decision.png","NO","Do not state one project-wide peak-reduction scalar or a uniform CatBoost effect.","outputs/phase9/final_benchmark.csv"
SUP-08,"负结果不被隐藏，也不用于 Test 后反向改选算法。","TIER 2 — SUPPORTING CLAIM","","SB-A03;SB-A11","falsification and negative-result Q&A","outputs/phase5_7/deterministic_vs_robust_daily_peaks.png","NO","Do not claim every attempted method improved or robust optimization belongs to DOEF.","outputs/phase5_7/test_overall_metrics.csv"
BACK-01,"稳健优化实验是负结果：Test mean regret 由 11.1274 kW 恶化至 20.4635 kW。","TIER 3 — BACKUP / Q&A CLAIM","","SB-A11","negative experiment detail","outputs/phase5_7/deterministic_vs_robust_daily_peaks.png","NO","Do not claim robust optimization improved Test performance or is part of DOEF v1.0.","outputs/phase5_7/selected_robust_config.json;outputs/phase5_7/test_overall_metrics.csv"
BACK-02,"一小时时间步下，负荷读数按区间能量解释，调度功率用 kW，电池容量与 SOC 用 kWh。","TIER 3 — BACKUP / Q&A CLAIM","","SB-A04","unit semantics Q&A","","YES","Do not treat kWh and kW as interchangeable outside the one-hour numerical equivalence.","outputs/phase13_0a/conflict_register.csv"
BACK-03,"Test 不参与选择，但评估范围仅为每栋建筑一个固定未来月份，且不能称为从未查看。","TIER 3 — BACKUP / Q&A CLAIM","","SB-A02","Test-scope caveat","ARCH-01-doef-architecture-master","NO","Do not call Test pristine or claim broad temporal generalization.","outputs/phase9_1/final_reporting_summary.json"
BACK-04,"DOEF 使用逐建筑冻结权重，而不是一个全局固定权重。","TIER 3 — BACKUP / Q&A CLAIM","","SB-A08","weight-detail Q&A","SCI-04-validation-weight-selection","NO","Do not generalize Joey's w=0.3 to every building.","outputs/phase8/selected_weights.csv"
BACK-05,"报告中的 DOEF 定义与冻结 Phase 8 预测逐值一致。","TIER 3 — BACKUP / Q&A CLAIM","","SB-A10","lineage Q&A","","YES","Do not claim a new independent reproduction or that every historical lineage issue is repaired.","outputs/phase9_1/doef_prediction_invariance.json"
