figure_id,title_cn,title_en,narrative_role,question_answered,source_phase,exact_source_files,exact_fields,plot_type,x_axis,y_axis,unit,aggregation,statistical_semantics,headline_or_supporting,report_section,ppt_candidate,gui_candidate,reuse_existing,recreate_required,existing_audit_classification,risk,notes
E7-01,Phase 7 morphology map,Phase 7 morphology map,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/01_morphology_map.png;outputs/phase7/selected_buildings.csv,selection morphology fields,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,supporting; saved PCA coordinates absent
E7-02,Phase 7 normalized forecast heatmap,Phase 7 normalized forecast heatmap,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/02_normalized_forecast_comparison.png;outputs/phase7/model_test_forecast_metrics.csv,building;method;normalized_MAE,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,"baseline context, not DOEF-focused"
E7-03,Phase 7 decision comparison,Phase 7 decision comparison,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/03_decision_comparison.png;outputs/phase7/model_test_decision_metrics.csv,building;method;mean_regret_vs_oracle,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,crowded baseline context
E7-04,Phase 7 forecast vs decision rank,Phase 7 forecast vs decision rank,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/04_forecast_vs_decision_rank.png;outputs/phase7/model_test_forecast_metrics.csv;outputs/phase7/model_test_decision_metrics.csv,within-building ranks,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,add 0.344 and semantic warning
E7-05,Phase 7 average rank,Phase 7 average rank,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/05_average_rank.png;outputs/phase7/cross_building_model_summary.csv,average rank fields,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,appendix/backup
E7-06,Phase 7 success case,Phase 7 success case,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/06_success_case.png;outputs/phase7/figures/06_success_case.png,STATIC_IMAGE_ONLY,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,DO NOT USE,HIGH,outcome-extreme selection and no raw rows
E7-07,Phase 7 failure case,Phase 7 failure case,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/07_failure_case.png;outputs/phase7/figures/07_failure_case.png,STATIC_IMAGE_ONLY,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,negative-result backup only
E7-08,Phase 7 ensemble improvement,Phase 7 ensemble improvement,existing figure audit,Can this existing figure enter competition delivery?,7,outputs/phase7/figures/08_ensemble_improvement.png;outputs/phase7/ensemble_validation_sweep.csv,alpha;normalized_peak_improvement_vs_tree,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,DO NOT USE,HIGH,historical stopped ensemble could confuse DOEF
E8-01,Phase 8 weight vs MAE,Phase 8 weight vs MAE,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/01_validation_weight_vs_mae.png;outputs/phase8/validation_weight_search.csv,building;weight;normalized_MAE,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,merge/small multiples
E8-02,Phase 8 weight vs regret,Phase 8 weight vs regret,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/02_validation_weight_vs_regret.png;outputs/phase8/validation_weight_search.csv,building;weight;mean_regret_vs_oracle;train_mean_load,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,annotate weights
E8-03,Phase 8 selected weights,Phase 8 selected weights,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/03_selected_weights.png;outputs/phase8/selected_weights.csv,building;w_forecast;w_decision,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,strong concept; add 6/8
E8-04,Phase 8 aggregate Test regret,Phase 8 aggregate Test regret,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/04_test_decision_regret.png;outputs/phase8/global_test_summary.csv,method;mean_normalized_regret,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,DO NOT USE,HIGH,internal/global variants distract
E8-05,Phase 8 forecast-decision effect,Phase 8 forecast-decision effect,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/05_forecast_vs_decision_effect.png;outputs/phase8/building_summary.csv,forecast and regret deltas,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,label overlap; raw kW
E8-06,Phase 8 representative dispatch,Phase 8 representative dispatch,existing figure audit,Can this existing figure enter competition delivery?,8,outputs/phase8/figures/06_representative_dispatch.png;outputs/phase8/figures/06_representative_dispatch.png;outputs/phase8/test_daily_decision_metrics.csv,STATIC_IMAGE_ONLY;daily summary,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REPLACE,MEDIUM,extreme case; no hourly raw data
E9-01,Phase 9 forecast vs decision overview,Phase 9 forecast vs decision overview,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/01_forecast_vs_decision.png;outputs/phase9/aggregate_metrics.csv,mean_normalized_MAE;mean_regret_kw,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,mixed normalization; replace with F04
E9-02,Phase 9 building decision comparison,Phase 9 building decision comparison,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/02_building_decision_comparison.png;outputs/phase9/per_building_metrics.csv,building;method;mean_regret_vs_oracle,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,closest core source; remove rejected branch
E9-03,Phase 9 core improvements,Phase 9 core improvements,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/03_core_improvements.png;outputs/phase9/per_building_metrics.csv,per-building normalized regret delta,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,SUPPORTING ONLY,MEDIUM,defense backup
E9-04,Phase 9 peak quality vs decision,Phase 9 peak quality vs decision,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/04_peak_quality_vs_decision.png;outputs/phase9/aggregate_metrics.csv,mean_normalized_peak_region_MAE;mean_regret_kw,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,DO NOT USE,HIGH,sparse three-point rejected-branch view
E9-05,Phase 9 efficiency,Phase 9 efficiency,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/05_efficiency.png;outputs/phase9/efficiency_metrics.csv,training_time_seconds;inference_time_ms,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,YES,REWORK,MEDIUM,use ledger rounding and protocol label
E9-06,Phase 9 validation search,Phase 9 validation search,existing figure audit,Can this existing figure enter competition delivery?,9,outputs/phase9/figures/06_validation_search.png;outputs/phase9/validation_search.csv,q;alpha;normalized_mean_regret;selected,existing raster,as existing,as existing,as existing,as existing,preserve frozen semantics,SUPPORTING,S10-S21,NO,NO,YES,NO,KEEP,MEDIUM,defense backup negative result
