slide_number,slide_title,element_type,claim_text,claim_id,numeric_metric_ids,figure_ids,source_phase,evidence_source,traceability_status,wording_status,notes
4,模型不只要预测得准，还要在 Validation 上支持更好的储能决策,major_claim,DOEF 不只按预测误差选融合权重，而是在 Validation 上按储能决策 regret 冻结权重。,CORE-03,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase8/selected_weights.csv,PASS,PASS,Visible PPTX wording audited against canonical source; normal display rounding accepted.
5,DOEF 在 Validation 上按决策 regret 冻结权重，再进入 Test,title,DOEF 在 Validation 上按决策 regret 冻结权重，再进入 Test,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
5,DOEF 在 Validation 上按决策 regret 冻结权重，再进入 Test,major_claim,DOEF v1.0（Decision-Oriented Ensemble Forecasting）把因果预测、决策导向融合和电池削峰评估连成一条冻结流程。,CORE-05,,ARCH-01-doef-architecture-master,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_algorithm.json,PASS,PASS,Visible PPTX wording audited against canonical source; normal display rounding accepted.
5,DOEF 在 Validation 上按决策 regret 冻结权重，再进入 Test,figure_or_visual,Frozen Phase 13.1 visual usage,CORE-05,,ARCH-01-doef-architecture-master,13.1,outputs/phase9/final_algorithm.json,PASS,PASS,No Phase 13.4 figure regeneration or modification.
6,DOEF 同时降低预测误差与储能决策 regret,title,DOEF 同时降低预测误差与储能决策 regret,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
6,DOEF 同时降低预测误差与储能决策 regret,major_claim,在冻结的 8 栋建筑 Test 汇总上，DOEF 相对 LightGBM 的 normalized MAE 改善 6.36%。,CORE-06;CORE-07;CORE-08,DOEF_MAE_IMPROVEMENT_PCT;DOEF_REGRET_IMPROVEMENT_PCT;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES;P9_DOEF_PEAK_REDUCTION_MIN_PCT,SCI-02-doef-main-results,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/final_reporting_summary.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
6,DOEF 同时降低预测误差与储能决策 regret,highlighted_number_or_table,Visible quantitative evidence,CORE-06;CORE-07;CORE-08,DOEF_MAE_IMPROVEMENT_PCT;DOEF_REGRET_IMPROVEMENT_PCT;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES;P9_DOEF_PEAK_REDUCTION_MIN_PCT,SCI-02-doef-main-results,canonical numeric registry,outputs/phase9_1/final_reporting_summary.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
6,DOEF 同时降低预测误差与储能决策 regret,figure_or_visual,Frozen Phase 13.1 visual usage,CORE-06;CORE-07;CORE-08,DOEF_MAE_IMPROVEMENT_PCT;DOEF_REGRET_IMPROVEMENT_PCT;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES;P9_DOEF_PEAK_REDUCTION_MIN_PCT,SCI-02-doef-main-results,13.1,outputs/phase9_1/final_reporting_summary.json,PASS,PASS,No Phase 13.4 figure regeneration or modification.
7,RMSE 衡量预测误差；regret 衡量误差经过调度后的工程后果,title,RMSE 衡量预测误差；regret 衡量误差经过调度后的工程后果,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
7,RMSE 衡量预测误差；regret 衡量误差经过调度后的工程后果,major_claim,更低的预测 RMSE 不必然带来更好的储能决策：冻结 Test 结果中，XGBoost 的 RMSE 略优，决策 regret 却更差。,CORE-02,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/metric_semantics.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
8,全部八栋固定建筑均被展示：六胜、两平、零负,title,全部八栋固定建筑均被展示：六胜、两平、零负,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
8,全部八栋固定建筑均被展示：六胜、两平、零负,major_claim,在 296 个办公候选中按冻结质量规则筛到 82 个，再仅用 Train 期形态预选 8 栋异质办公建筑。,CORE-04;CORE-07,COUNT_OFFICE_CANDIDATES;COUNT_QUALITY_PASS;COUNT_FIXED_BUILDINGS;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES,SCI-03-multibuilding-regret,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/final_reporting_summary.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
8,全部八栋固定建筑均被展示：六胜、两平、零负,highlighted_number_or_table,Visible quantitative evidence,CORE-04;CORE-07,COUNT_OFFICE_CANDIDATES;COUNT_QUALITY_PASS;COUNT_FIXED_BUILDINGS;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES,SCI-03-multibuilding-regret,canonical numeric registry,outputs/phase9_1/final_reporting_summary.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
8,全部八栋固定建筑均被展示：六胜、两平、零负,figure_or_visual,Frozen Phase 13.1 visual usage,CORE-04;CORE-07,COUNT_OFFICE_CANDIDATES;COUNT_QUALITY_PASS;COUNT_FIXED_BUILDINGS;DOEF_REGRET_WINS;DOEF_REGRET_TIES;DOEF_REGRET_LOSSES,SCI-03-multibuilding-regret,13.1,outputs/phase9_1/final_reporting_summary.json,PASS,PASS,No Phase 13.4 figure regeneration or modification.
9,权重在 Validation 冻结，Test 不参与选择,title,权重在 Validation 冻结，Test 不参与选择,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
9,权重在 Validation 冻结，Test 不参与选择,major_claim,所有模型与融合选择均只用 Validation 冻结，Test 仅用于评估。,SUP-03,WEIGHT_CANDIDATE_COUNT,SCI-04-validation-weight-selection,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase8/run_config.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
9,权重在 Validation 冻结，Test 不参与选择,highlighted_number_or_table,Visible quantitative evidence,SUP-03,WEIGHT_CANDIDATE_COUNT,SCI-04-validation-weight-selection,canonical numeric registry,outputs/phase8/run_config.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
9,权重在 Validation 冻结，Test 不参与选择,figure_or_visual,Frozen Phase 13.1 visual usage,SUP-03,WEIGHT_CANDIDATE_COUNT,SCI-04-validation-weight-selection,13.1,outputs/phase8/run_config.json,PASS,PASS,No Phase 13.4 figure regeneration or modification.
10,冻结流程明确了次日预测如何生成储能调度，但尚非现场部署,title,冻结流程明确了次日预测如何生成储能调度，但尚非现场部署,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
10,冻结流程明确了次日预测如何生成储能调度，但尚非现场部署,major_claim,DOEF v1.0（Decision-Oriented Ensemble Forecasting）把因果预测、决策导向融合和电池削峰评估连成一条冻结流程。,CORE-05;SUP-06,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_algorithm.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
11,创新不在基础预测器，而在把模型选择对齐储能决策,title,创新不在基础预测器，而在把模型选择对齐储能决策,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
11,创新不在基础预测器，而在把模型选择对齐储能决策,major_claim,DOEF 不只按预测误差选融合权重，而是在 Validation 上按储能决策 regret 冻结权重。,CORE-03;CORE-05,,CON-02-contribution-overview,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase12/innovation_claims_frozen.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
11,创新不在基础预测器，而在把模型选择对齐储能决策,figure_or_visual,Frozen Phase 13.1 visual usage,CORE-03;CORE-05,,CON-02-contribution-overview,13.1,outputs/phase12/innovation_claims_frozen.json,PASS,PASS,No Phase 13.4 figure regeneration or modification.
12,让预测评价与最终储能决策对齐,title,让预测评价与最终储能决策对齐,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
12,让预测评价与最终储能决策对齐,major_claim,预测不是终点：24 小时前瞻负荷预测服务于电池削峰决策。,CORE-01;CORE-03;BACK-03,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/final_reporting_summary.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
13,建筑范围在结果评估前冻结,title,建筑范围在结果评估前冻结,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
13,建筑范围在结果评估前冻结,major_claim,在 296 个办公候选中按冻结质量规则筛到 82 个，再仅用 Train 期形态预选 8 栋异质办公建筑。,CORE-04;SUP-01,COUNT_PROJECT_SERIES;COUNT_OFFICE_CANDIDATES;COUNT_QUALITY_PASS;COUNT_FIXED_BUILDINGS,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase7/selected_buildings.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
13,建筑范围在结果评估前冻结,highlighted_number_or_table,Visible quantitative evidence,CORE-04;SUP-01,COUNT_PROJECT_SERIES;COUNT_OFFICE_CANDIDATES;COUNT_QUALITY_PASS;COUNT_FIXED_BUILDINGS,,canonical numeric registry,outputs/phase7/selected_buildings.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
14,因果特征与时间切分共同约束信息边界,title,因果特征与时间切分共同约束信息边界,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
14,因果特征与时间切分共同约束信息边界,major_claim,24 小时前瞻预测只使用因果可得的负荷历史与日历特征。,SUP-02;BACK-03,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase7/model_selection_config.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
15,基础模型是对照与组件，不是被包装的创新点,title,基础模型是对照与组件，不是被包装的创新点,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
15,基础模型是对照与组件，不是被包装的创新点,major_claim,DOEF v1.0（Decision-Oriented Ensemble Forecasting）把因果预测、决策导向融合和电池削峰评估连成一条冻结流程。,CORE-05;BACK-04,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_algorithm.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
16,同一冻结电池约束保证方法间可比,title,同一冻结电池约束保证方法间可比,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
16,同一冻结电池约束保证方法间可比,major_claim,所有预测方法在同一冻结电池约束下比较，实现从预测到真实削峰结果的闭环评价。,SUP-06;BACK-02,BATTERY_COMMON_CAPACITY_FRACTION_OF_MEAN_DAILY_ENERGY;BATTERY_COMMON_SOC_MIN_FRACTION;BATTERY_COMMON_SOC_MAX_FRACTION;BATTERY_COMMON_INITIAL_SOC_FRACTION;BATTERY_COMMON_TERMINAL_SOC_FRACTION;BATTERY_COMMON_ETA_CHARGE;BATTERY_COMMON_ETA_DISCHARGE;BATTERY_COMMON_ROUND_TRIP_EFFICIENCY,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase7/building_battery_configs.csv,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
16,同一冻结电池约束保证方法间可比,highlighted_number_or_table,Visible quantitative evidence,SUP-06;BACK-02,BATTERY_COMMON_CAPACITY_FRACTION_OF_MEAN_DAILY_ENERGY;BATTERY_COMMON_SOC_MIN_FRACTION;BATTERY_COMMON_SOC_MAX_FRACTION;BATTERY_COMMON_INITIAL_SOC_FRACTION;BATTERY_COMMON_TERMINAL_SOC_FRACTION;BATTERY_COMMON_ETA_CHARGE;BATTERY_COMMON_ETA_DISCHARGE;BATTERY_COMMON_ROUND_TRIP_EFFICIENCY,,canonical numeric registry,outputs/phase7/building_battery_configs.csv,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
17,完整预测指标用于核查，不替代下游决策评价,title,完整预测指标用于核查，不替代下游决策评价,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
17,完整预测指标用于核查，不替代下游决策评价,major_claim,更低的预测 RMSE 不必然带来更好的储能决策：冻结 Test 结果中，XGBoost 的 RMSE 略优，决策 regret 却更差。,CORE-02;CORE-06;CORE-07,P9_DAY_PERSISTENCE_NORMALIZED_MAE_MEAN;P9_DAY_PERSISTENCE_NORMALIZED_RMSE_MEAN;P9_DAY_PERSISTENCE_NORMALIZED_DECISION_REGRET_MEAN;P9_DAY_PERSISTENCE_PEAK_REDUCTION_MEAN_PCT;P9_WEEK_NORMALIZED_MAE_MEAN;P9_WEEK_NORMALIZED_RMSE_MEAN;P9_WEEK_NORMALIZED_DECISION_REGRET_MEAN;P9_WEEK_PEAK_REDUCTION_MEAN_PCT;P9_DAYWEEK_NORMALIZED_MAE_MEAN;P9_DAYWEEK_NORMALIZED_RMSE_MEAN;P9_DAYWEEK_NORMALIZED_DECISION_REGRET_MEAN;P9_DAYWEEK_PEAK_REDUCTION_MEAN_PCT;P9_LIGHTGBM_NORMALIZED_MAE_MEAN;P9_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT;P9_XGBOOST_NORMALIZED_MAE_MEAN;P9_XGBOOST_NORMALIZED_RMSE_MEAN;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_XGBOOST_PEAK_REDUCTION_MEAN_PCT;P9_CATBOOST_NORMALIZED_MAE_MEAN;P9_CATBOOST_NORMALIZED_RMSE_MEAN;P9_CATBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_CATBOOST_PEAK_REDUCTION_MEAN_PCT;P9_DOEF_NORMALIZED_MAE_MEAN;P9_DOEF_NORMALIZED_RMSE_MEAN;P9_DOEF_NORMALIZED_DECISION_REGRET_MEAN;P9_DOEF_PEAK_REDUCTION_MEAN_PCT;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_MAE_MEAN;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_PEAK_AWARE_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_benchmark.csv,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
17,完整预测指标用于核查，不替代下游决策评价,highlighted_number_or_table,Visible quantitative evidence,CORE-02;CORE-06;CORE-07,P9_DAY_PERSISTENCE_NORMALIZED_MAE_MEAN;P9_DAY_PERSISTENCE_NORMALIZED_RMSE_MEAN;P9_DAY_PERSISTENCE_NORMALIZED_DECISION_REGRET_MEAN;P9_DAY_PERSISTENCE_PEAK_REDUCTION_MEAN_PCT;P9_WEEK_NORMALIZED_MAE_MEAN;P9_WEEK_NORMALIZED_RMSE_MEAN;P9_WEEK_NORMALIZED_DECISION_REGRET_MEAN;P9_WEEK_PEAK_REDUCTION_MEAN_PCT;P9_DAYWEEK_NORMALIZED_MAE_MEAN;P9_DAYWEEK_NORMALIZED_RMSE_MEAN;P9_DAYWEEK_NORMALIZED_DECISION_REGRET_MEAN;P9_DAYWEEK_PEAK_REDUCTION_MEAN_PCT;P9_LIGHTGBM_NORMALIZED_MAE_MEAN;P9_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT;P9_XGBOOST_NORMALIZED_MAE_MEAN;P9_XGBOOST_NORMALIZED_RMSE_MEAN;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_XGBOOST_PEAK_REDUCTION_MEAN_PCT;P9_CATBOOST_NORMALIZED_MAE_MEAN;P9_CATBOOST_NORMALIZED_RMSE_MEAN;P9_CATBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_CATBOOST_PEAK_REDUCTION_MEAN_PCT;P9_DOEF_NORMALIZED_MAE_MEAN;P9_DOEF_NORMALIZED_RMSE_MEAN;P9_DOEF_NORMALIZED_DECISION_REGRET_MEAN;P9_DOEF_PEAK_REDUCTION_MEAN_PCT;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_MAE_MEAN;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_PEAK_AWARE_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT,,canonical numeric registry,outputs/phase9/final_benchmark.csv,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
18,决策指标必须连同范围与聚合口径一起解释,title,决策指标必须连同范围与聚合口径一起解释,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
18,决策指标必须连同范围与聚合口径一起解释,major_claim,DOEF 的 8 栋建筑平均削峰率为 6.44%，同时如实保留最差建筑 -1.02% 的负结果。,CORE-08;SUP-07,P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT;P9_LIGHTGBM_PEAK_REDUCTION_MEDIAN_PCT;P9_LIGHTGBM_PEAK_REDUCTION_MIN_PCT;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_XGBOOST_PEAK_REDUCTION_MEAN_PCT;P9_XGBOOST_PEAK_REDUCTION_MEDIAN_PCT;P9_XGBOOST_PEAK_REDUCTION_MIN_PCT;P9_CATBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_CATBOOST_PEAK_REDUCTION_MEAN_PCT;P9_CATBOOST_PEAK_REDUCTION_MEDIAN_PCT;P9_CATBOOST_PEAK_REDUCTION_MIN_PCT;P9_DOEF_NORMALIZED_DECISION_REGRET_MEAN;P9_DOEF_PEAK_REDUCTION_MEAN_PCT;P9_DOEF_PEAK_REDUCTION_MEDIAN_PCT;P9_DOEF_PEAK_REDUCTION_MIN_PCT,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_benchmark.csv,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
18,决策指标必须连同范围与聚合口径一起解释,highlighted_number_or_table,Visible quantitative evidence,CORE-08;SUP-07,P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT;P9_LIGHTGBM_PEAK_REDUCTION_MEDIAN_PCT;P9_LIGHTGBM_PEAK_REDUCTION_MIN_PCT;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_XGBOOST_PEAK_REDUCTION_MEAN_PCT;P9_XGBOOST_PEAK_REDUCTION_MEDIAN_PCT;P9_XGBOOST_PEAK_REDUCTION_MIN_PCT;P9_CATBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_CATBOOST_PEAK_REDUCTION_MEAN_PCT;P9_CATBOOST_PEAK_REDUCTION_MEDIAN_PCT;P9_CATBOOST_PEAK_REDUCTION_MIN_PCT;P9_DOEF_NORMALIZED_DECISION_REGRET_MEAN;P9_DOEF_PEAK_REDUCTION_MEAN_PCT;P9_DOEF_PEAK_REDUCTION_MEDIAN_PCT;P9_DOEF_PEAK_REDUCTION_MIN_PCT,,canonical numeric registry,outputs/phase9/final_benchmark.csv,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
19,冻结调度轨迹只用于说明流程，不代表普遍表现,title,冻结调度轨迹只用于说明流程，不代表普遍表现,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
19,冻结调度轨迹只用于说明流程，不代表普遍表现,major_claim,所有预测方法在同一冻结电池约束下比较，实现从预测到真实削峰结果的闭环评价。,SUP-06,,SCI-05-storage-dispatch-frozen,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase13_1/figures/sci_05_storage_dispatch_frozen.png,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
19,冻结调度轨迹只用于说明流程，不代表普遍表现,figure_or_visual,Frozen Phase 13.1 visual usage,SUP-06,,SCI-05-storage-dispatch-frozen,13.1,outputs/phase13_1/figures/sci_05_storage_dispatch_frozen.png,PASS,PASS,No Phase 13.4 figure regeneration or modification.
20,逐建筑权重来自预先声明的 Validation 搜索,title,逐建筑权重来自预先声明的 Validation 搜索,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
20,逐建筑权重来自预先声明的 Validation 搜索,major_claim,DOEF 不只按预测误差选融合权重，而是在 Validation 上按储能决策 regret 冻结权重。,CORE-03;BACK-04,WEIGHT_HOG_OFFICE_ROLANDO_W_FORECAST;WEIGHT_HOG_OFFICE_ROLANDO_W_DECISION;WEIGHT_HOG_OFFICE_LAVON_W_FORECAST;WEIGHT_HOG_OFFICE_LAVON_W_DECISION;WEIGHT_HOG_OFFICE_JOEY_W_FORECAST;WEIGHT_HOG_OFFICE_JOEY_W_DECISION;WEIGHT_LAMB_OFFICE_CAITLIN_W_FORECAST;WEIGHT_LAMB_OFFICE_CAITLIN_W_DECISION;WEIGHT_ROBIN_OFFICE_ADDIE_W_FORECAST;WEIGHT_ROBIN_OFFICE_ADDIE_W_DECISION;WEIGHT_LAMB_OFFICE_GERARDO_W_FORECAST;WEIGHT_LAMB_OFFICE_GERARDO_W_DECISION;WEIGHT_HOG_OFFICE_ALEXIS_W_FORECAST;WEIGHT_HOG_OFFICE_ALEXIS_W_DECISION;WEIGHT_HOG_OFFICE_BYRON_W_FORECAST;WEIGHT_HOG_OFFICE_BYRON_W_DECISION;WEIGHT_CANDIDATE_COUNT,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase8/selected_weights.csv,PASS,PASS,Visible PPTX wording audited against canonical source; normal display rounding accepted.
