claim_id,claim_category,claim_text,claim_scope,status,allowed_wording,prohibited_wording,primary_evidence,secondary_evidence,source_phase,source_file,source_field_or_section,figure_id,ppt_slide,notes
SUP-03,Validation discipline,All model and ensemble choices were frozen using Validation only; Test is evaluation-only and cannot promote an algorithm.,8 fixed office buildings; Validation selection; Test evaluation; all selected models and ensemble weights,SUPPORTED,所有模型与融合选择均只用 Validation 冻结，Test 仅用于评估。,"The Test set was pristine, completely untouched, or never viewed.",outputs/phase9_1/final_reporting_summary.json,outputs/phase8/run_config.json,13.0B,outputs/phase9_1/final_reporting_summary.json,CLM-2526,FIG-032;FIG-033,SB-M05;SB-M09;SB-M11;SB-A02,"Historical Test results had been viewed; the safe statement concerns non-use for selection, not pristine visibility."
SUP-04,Building-level uncertainty,"A frozen building-level paired bootstrap of DOEF minus LightGBM normalized mean decision regret uses 10,000 resamples and yields point estimate -0.004198 with 95% interval [-0.006850, -0.001719].",8 fixed office buildings; Test; DOEF v1.0 minus LightGBM,SUPPORTED_WITH_QUALIFICATION,以建筑为重采样单位的冻结 bootstrap 区间仍位于 0 以下。,This proves universal statistical superiority across buildings.,outputs/phase9_1/building_level_bootstrap_summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/building_level_bootstrap_summary.json,CLM-2555;CLM-2556;CLM-2557;CLM-2558;CLM-2559,,SB-A09,Only 8 building units are available; the bootstrap quantifies uncertainty within this fixed scope.
SUP-05,Reproducibility,"The explicit DOEF v1.0 formula reproduces all 5,760 frozen Phase 8 ensemble predictions with maximum absolute difference 0.0 kW.",8 fixed office buildings; Test; DOEF v1.0,SUPPORTED,"DOEF v1.0 公式对 5,760 个冻结预测实现零差异复现。",A new independent experiment reproduced the result.,outputs/phase9_1/doef_prediction_invariance.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/doef_prediction_invariance.json,CLM-2560;CLM-2561,,SB-A10,"This is prediction identity, not a fresh model rerun or independent replication."
SUP-06,Battery evaluation,"Forecast-driven daily battery schedules are evaluated on realized load under frozen capacity, power, efficiency, SOC, and daily-reset constraints.",8 fixed office buildings; Test; all forecast-driven controllers,SUPPORTED,所有预测方法在同一冻结电池约束下比较，实现从预测到真实削峰结果的闭环评价。,The battery controller has been deployed in real buildings.,outputs/phase9/final_algorithm.json,outputs/phase13_0a/conflict_register.csv,13.0B,outputs/phase9/final_algorithm.json,CLM-2548,FIG-037;FIG-042,SB-M03;SB-M05;SB-M07;SB-M10;SB-M11;SB-A04;SB-A07,"The protocol is a fixed offline evaluation, not a field deployment."
SUP-07,Honest aggregation,"Peak-reduction conclusions must retain method, building, split, whole-window/daily scope, and aggregation labels; CatBoost's frozen Test mean is -24.4824% while its median is 4.8209%.",8 fixed office buildings; Test; CatBoost example,SUPPORTED_WITH_QUALIFICATION,削峰率必须同时说明方法、建筑范围和聚合口径；均值与中位数可能给出相反印象。,Peak reduction is one universal scalar or CatBoost uniformly increases peaks.,outputs/phase9/final_benchmark.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9/final_benchmark.csv,CLM-2496;CLM-2497,FIG-041,SB-A06,The extreme mean is driven by a documented low-load building case; do not collapse it to one unlabeled scalar.
SUP-08,Evidence-first falsification,Negative or mixed frozen outcomes are retained and are not used to revise the Validation-frozen algorithm after Test evaluation.,Hog_office_Rolando and 8-building follow-up; Validation selection; Test reporting; robust and peak-aware supporting experiments,SUPPORTED,负结果不被隐藏，也不用于 Test 后反向改选算法。,Every attempted method improved Test performance.,outputs/phase5_7/summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase5_7/summary.json,CLM-0061;CLM-0052,FIG-022,SB-A03;SB-A11,"These experiments are supporting falsification evidence, not DOEF components."
BACK-01,Robust optimization negative result,"For Hog_office_Rolando Test, the Validation-selected robust LightGBM configuration (lambda=0.5) has mean regret 20.4635 kW versus 11.1274 kW for deterministic LightGBM.",Hog_office_Rolando; Test after Validation selection; robust versus deterministic LightGBM,NEGATIVE_RESULT,稳健优化实验是负结果：Test mean regret 由 11.1274 kW 恶化至 20.4635 kW。,Robust optimization improved Test performance.,outputs/phase5_7/summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase5_7/summary.json,CLM-0082;CLM-0061;CLM-0052,FIG-022;FIG-023,SB-A11,Single-building negative supporting experiment; not part of DOEF v1.0.
BACK-02,Unit semantics,"Raw meter observations are kWh per one-hour interval; dispatch quantities are interpreted as interval-average kW, while battery capacity and SOC remain kWh.",all buildings; all splits; data and battery semantics,SUPPORTED_WITH_QUALIFICATION,一小时时间步下，负荷读数按区间能量解释，调度功率用 kW，电池容量与 SOC 用 kWh。,kWh and kW are interchangeable units.,outputs/phase13_0a/conflict_register.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0a/conflict_register.csv,CLM-0021,,SB-A04,Numerical values coincide only because delta-t equals one hour.
BACK-03,Test scope,The frozen evaluation contains one fixed future Test month per building; Test did not select models or weights but historical Test results had been viewed.,8 fixed office buildings; one fixed Test month per building; all final methods,SUPPORTED_WITH_QUALIFICATION,Test 不参与选择，但评估范围仅为每栋建筑一个固定未来月份，且不能称为从未查看。,Completely untouched pristine Test set or broad temporal generalization.,outputs/phase9_1/final_reporting_summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/final_reporting_summary.json,CLM-0008,,SB-A02,This limits temporal generalization and pristine-Test wording.
BACK-04,DOEF weight detail,DOEF uses frozen per-building Validation-selected weights rather than one universal ensemble weight; the Joey decision-selected LightGBM weight is 0.3.,8 fixed office buildings; Validation; DOEF ensemble,SUPPORTED_WITH_QUALIFICATION,DOEF 使用逐建筑冻结权重，而不是一个全局固定权重。,DOEF always uses w=0.3.,outputs/phase8/selected_weights.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase8/selected_weights.csv,CLM-2532,FIG-034,SB-A08,Do not generalize Joey's value to other buildings.
BACK-05,Prediction lineage,"The Phase 9.1 invariance audit confirms the reporting definition is byte-identical in values to the frozen Phase 8 ensemble prediction over 5,760 samples.",8 fixed office buildings; Test; DOEF v1.0,SUPPORTED_WITH_QUALIFICATION,报告中的 DOEF 定义与冻结 Phase 8 预测逐值一致。,All repository lineage issues are repaired.,outputs/phase9_1/doef_prediction_invariance.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/doef_prediction_invariance.json,CLM-2560;CLM-2561,,SB-A10,This does not repair the separately documented historical canonical-loader parent-hash caveat.
REJ-01,Unseen-building transfer,Frozen evidence covers 8 fixed buildings only.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,DOEF generalizes to unseen buildings.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2568,,,Frozen evidence covers 8 fixed buildings only.
REJ-02,Monetary savings,No tariff or monetary outcome model exists.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,DOEF delivers verified electricity-cost savings.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2569,,,No tariff or monetary outcome model exists.
REJ-03,Carbon reduction,No carbon outcome model exists.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,DOEF reduces carbon emissions.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2570,,,No carbon outcome model exists.
REJ-04,Energy reduction,"The outcome is peak demand, not energy use.",unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,DOEF reduces building energy consumption.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2571,,,"The outcome is peak demand, not energy use."
REJ-05,Broader building scope,No frozen experiment supports that scope.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,Results generalize beyond the 8 buildings.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2572,,,No frozen experiment supports that scope.
REJ-06,Broader temporal scope,Only one fixed Test month per building is available.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,Results generalize across seasons and years.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2573,,,Only one fixed Test month per building is available.
REJ-07,Pristine Test,"Test was not used for selection, but historical results had been viewed.",unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,The Test set was completely untouched and never viewed.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2574,,,"Test was not used for selection, but historical results had been viewed."
REJ-08,Universal BDG2 count,The count is limited to the frozen project selection table.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,"BDG2 has exactly 1,578 buildings.",outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2564,,,The count is limited to the frozen project selection table.
REJ-09,Universal peak scalar,"Method, building, split, scope, and aggregation change the value.",unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,Peak reduction is one project-wide scalar.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2567,,,"Method, building, split, scope, and aggregation change the value."
REJ-10,Robust improvement,Frozen Test regret materially degraded.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,Robust optimization improved Test performance.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-0061,,,Frozen Test regret materially degraded.
REJ-11,External novelty,No external literature or SOTA audit is part of Phase 13.0B.,unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,"DOEF is first, novel, world-first, or state of the art.",outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2551,,,No external literature or SOTA audit is part of Phase 13.0B.
REJ-12,Universal superiority,"Frozen results include ties, method-specific strengths, and negative cases.",unsupported or over-broad scope; not applicable; not applicable,REJECTED,Do not use as a positive claim.,DOEF beats all methods on every metric and building.,outputs/phase13_0b/final_presentation_claims.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase13_0b/final_presentation_claims.json,CLM-2508,,,"Frozen results include ties, method-specific strengths, and negative cases."
